Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
Top Esports,10,CN,129,0.667,1.29,1843,138,1900-01-01 08:17:00,15.5,12.0,7.3,4.8,23.3,27.1,47.599999999999994,2.61,55.6,2.8,56.6,47.25,1.03,0.2,669.0,4.18,0.81,64.5,32.5,2102.0,3.3,1.3,1.61,1
TSM,10,NA,77,0.532,1.13,1741,30,1900-01-01 11:18:00,12.0,10.6,6.7,5.9,59.7,54.5,47.599999999999994,2.61,49.7,2.8,50.6,47.25,0.96,0.1,286.0,4.18,0.71,48.4,32.1,1798.0,3.4,1.36,1.44,2
TSM Academy,10,NA,50,0.6,1.13,1744,45,1900-01-01 10:07:00,13.8,12.1,6.3,5.8,58.0,46.0,47.599999999999994,2.78,56.2,2.8,45.0,47.25,0.96,0.1,358.0,4.18,0.78,55.9,30.9,1893.0,3.1,1.3,1.28,2
UCAM Esports Club,10,ES,44,0.5,0.99,1684,-30,1900-01-01 11:33:00,11.4,11.5,6.6,6.2,47.7,50.0,47.599999999999994,2.86,55.2,2.8,40.7,47.25,1.21,0.2,209.0,4.18,0.61,48.8,30.3,1858.0,3.6,1.38,1.52,3
Unicorns Of Love,10,CIS,56,0.804,1.66,1904,279,1900-01-01 04:58:00,18.5,11.1,8.0,2.8,58.9,75.0,47.599999999999994,2.59,65.2,2.8,69.4,47.25,1.09,0.9,1929.0,4.18,0.8,74.7,31.0,2260.0,2.8,0.94,1.33,3
UOL Sexy Edition,10,DE,59,0.542,1.01,1786,23,1900-01-01 07:45:00,15.1,14.9,6.6,5.8,50.8,44.1,47.599999999999994,2.53,51.6,2.8,34.5,47.25,1.07,-0.2,-1021.0,4.18,0.73,55.7,31.0,2023.0,2.9,1.06,1.19,3
V Gaming Adonis,10,VN,34,0.265,0.75,1711,-183,1900-01-01 06:42:00,14.4,19.1,4.4,7.6,41.2,35.3,47.599999999999994,1.94,42.7,2.8,30.6,47.25,0.84,-0.6,-1157.0,4.18,0.29,24.2,30.5,1890.0,3.2,1.29,1.22,3
V3 Esports,10,JP,54,0.63,1.35,1741,98,1900-01-01 09:29:00,13.9,10.2,6.5,4.5,64.8,57.4,47.599999999999994,2.5,52.7,2.8,52.8,47.25,1.02,0.5,386.0,4.18,0.81,60.9,30.4,1903.0,3.4,1.29,1.52,3
Vega Squadron,10,CIS,29,0.207,0.56,1593,-263,1900-01-01 06:46:00,9.1,16.3,3.4,7.9,41.4,44.8,47.599999999999994,1.38,30.6,2.8,37.0,47.25,0.89,-0.3,-1148.0,4.18,0.31,27.1,29.5,1585.0,3.0,1.2,1.21,3
Vici Gaming,10,CN,101,0.475,0.97,1737,-16,1900-01-01 08:20:00,12.3,12.7,5.3,6.1,17.8,23.8,47.599999999999994,2.48,52.6,2.8,58.8,47.25,0.98,0.2,513.0,4.18,0.5,46.8,31.9,1808.0,3.4,1.37,1.61,1
Victory Five,10,CN,86,0.384,0.77,1704,-109,1900-01-01 05:59:00,11.1,14.4,4.9,6.3,26.7,29.1,47.599999999999994,1.97,44.5,2.8,51.0,47.25,0.88,0.1,457.0,4.18,0.38,37.7,30.9,1721.0,3.1,1.26,1.41,1
Vikingekrig Esports,10,CZ,46,0.304,0.89,1664,-157,1900-01-01 08:35:00,14.1,15.9,4.0,7.9,39.1,23.9,47.599999999999994,2.39,47.8,2.8,38.0,47.25,0.98,-0.9,-1719.0,4.18,0.57,38.6,29.1,1834.0,2.8,1.06,1.17,3
Vipers Inc,10,EUW,6,0.333,0.83,1727,-132,1900-01-01 11:33:00,17.8,21.5,5.5,8.7,83.3,33.3,47.599999999999994,2.17,40.5,2.8,25.0,47.25,1.0,-0.7,-937.0,4.18,0.33,16.7,29.0,2353.0,2.8,1.19,1.21,3
Vitality.Bee,10,FR,44,0.523,1.19,1786,52,1900-01-01 09:18:00,16.3,13.8,6.3,6.2,63.6,38.6,47.599999999999994,2.64,55.9,2.8,47.7,47.25,0.91,-0.2,372.0,4.18,0.64,47.2,31.3,2056.0,3.2,1.41,1.29,3
Vivo Keyd,10,BR,45,0.444,0.83,1725,-54,1900-01-01 08:43:00,13.8,16.6,5.7,6.5,57.8,46.7,47.599999999999994,2.31,46.2,2.8,50.0,47.25,0.96,-0.2,-353.0,4.18,0.62,42.6,30.3,2006.0,3.1,1.36,1.39,3
Vodafone Giants,10,ES,77,0.714,1.32,1808,149,1900-01-01 09:36:00,14.4,10.8,7.6,4.7,42.9,63.6,47.599999999999994,3.27,63.4,2.8,63.8,47.25,1.18,0.4,368.0,4.18,0.88,69.8,31.7,2122.0,3.3,1.19,1.52,3
WLGaming Esports,10,EUW,12,0.333,0.94,1779,-53,1900-01-01 08:01:00,16.9,17.9,5.3,6.8,16.7,41.7,47.599999999999994,3.08,65.3,2.8,45.8,47.25,1.17,-0.2,-375.0,4.18,0.67,45.8,31.0,1888.0,2.9,1.13,1.19,3
x6tence,10,ES,18,0.389,0.7,1659,-113,1900-01-01 10:07:00,9.7,13.9,5.1,7.3,44.4,33.3,47.599999999999994,2.56,48.9,2.8,33.3,47.25,1.06,-0.3,-836.0,4.18,0.61,44.1,30.8,1780.0,3.0,1.25,1.35,3
XTEN Esports,10,LAT,32,0.313,0.71,1618,-168,1900-01-01 10:36:00,9.8,13.7,4.3,7.8,65.6,37.5,47.599999999999994,2.28,42.0,2.8,50.0,47.25,1.09,-0.2,-588.0,4.18,0.56,30.6,29.8,1576.0,3.2,1.37,1.41,3
YDN Gamers,10,IT,44,0.5,1.12,1715,-7,1900-01-01 07:17:00,14.5,12.9,5.6,5.7,65.9,56.8,47.599999999999994,2.41,50.4,2.8,52.3,47.25,0.93,0.0,-175.0,4.18,0.7,56.0,29.6,1832.0,3.0,1.08,1.23,3
100 Thieves,9,NA,37,0.324,0.76,1696,-122,1900-01-01 11:03:00,8.6,11.3,5.0,7.3,37.8,48.6,47.599999999999994,1.78,38.5,2.8,44.4,47.25,0.57,0.0,-879.0,4.18,0.57,37.2,32.0,1612.0,3.2,1.26,1.44,2
1907 Fenerbahce,9,TR,53,0.679,1.29,1864,163,1900-01-01 08:32:00,15.3,11.9,7.3,4.4,62.3,71.7,47.599999999999994,2.6,62.3,2.8,79.2,47.25,0.98,0.8,1437.0,4.18,0.89,65.0,32.6,1902.0,3.1,1.23,1.34,3
ACTINA PACT,9,PL,32,0.313,0.61,1689,-212,1900-01-01 07:25:00,10.1,16.7,4.2,7.8,37.5,25.0,47.599999999999994,1.88,41.4,2.8,40.6,47.25,0.72,-0.8,-2020.0,4.18,0.47,32.3,30.9,1615.0,2.9,1.25,1.23,3
Afreeca Freecs,9,KR,98,0.429,0.81,1747,-83,1900-01-01 10:17:00,10.7,13.2,5.3,6.3,46.9,54.1,47.599999999999994,2.24,48.7,2.8,55.2,47.25,0.89,0.2,85.0,4.18,0.67,44.8,32.7,1637.0,3.9,1.54,1.72,1
Against All Authority,9,FR,28,0.321,0.77,1701,-174,1900-01-01 08:11:00,13.4,17.4,4.9,7.1,53.6,39.3,47.599999999999994,1.57,36.5,2.8,46.4,47.25,0.68,-0.4,-1015.0,4.18,0.61,37.5,28.7,1950.0,3.1,1.29,1.18,3
ahq e-Sports Club,9,TW,89,0.506,1.1,1771,12,1900-01-01 10:09:00,11.7,10.6,6.0,5.7,57.3,50.6,47.599999999999994,2.28,52.7,2.8,53.4,47.25,0.73,0.0,166.0,4.18,0.6,49.2,32.5,1732.0,3.7,1.52,1.67,3
Akademia,9,PL,30,0.433,0.81,1729,-123,1900-01-01 09:46:00,11.6,14.3,5.2,6.8,43.3,26.7,47.599999999999994,1.47,38.3,2.8,40.0,47.25,0.63,-0.6,-1419.0,4.18,0.53,34.2,32.0,1770.0,2.9,1.13,1.08,3
All Knights,9,LAT,54,0.667,1.16,1804,58,1900-01-01 09:25:00,12.8,11.0,7.2,4.6,55.6,61.1,47.599999999999994,2.56,60.7,2.8,61.1,47.25,0.83,0.6,821.0,4.18,0.72,59.5,32.1,1882.0,3.9,1.36,1.47,3
Alpha Esports,9,TW,59,0.322,0.73,1721,-144,1900-01-01 06:58:00,9.9,13.6,4.4,7.6,50.8,52.5,47.599999999999994,1.73,42.6,2.8,49.2,47.25,0.85,0.1,4.0,4.18,0.36,26.1,32.3,1697.0,3.3,1.39,1.25,3
APK Prince,9,KR,7,0.714,1.33,1764,119,1900-01-01 11:13:00,12.6,9.4,6.9,5.1,71.4,57.1,47.599999999999994,2.57,53.8,2.8,71.4,47.25,0.86,-0.3,424.0,4.18,0.71,75.0,31.4,1699.0,4.3,1.43,2.08,1
Armored Project,9,SEA,19,0.211,0.61,1693,-335,1900-01-01 03:21:00,14.2,22.9,2.9,7.9,42.1,42.1,47.599999999999994,1.16,38.1,2.8,26.3,47.25,0.53,-0.5,-2196.0,4.18,0.21,21.4,27.9,2007.0,2.7,1.17,1.06,3
AS Trencin esports,9,CZ,39,0.487,1.08,1812,18,1900-01-01 08:44:00,15.1,13.9,6.0,6.4,51.3,38.5,47.599999999999994,1.67,38.8,2.8,51.3,47.25,0.38,-0.2,227.0,4.18,0.77,47.1,31.6,1907.0,3.1,1.09,1.18,3
ASP Esports,9,PT,14,0.143,0.41,1513,-429,1900-01-01 05:06:00,6.8,16.5,2.3,9.1,28.6,14.3,47.599999999999994,0.86,22.6,2.8,21.4,47.25,0.36,-0.7,-3122.0,4.18,0.29,15.4,28.4,1522.0,2.9,1.03,0.94,3
Asus ROG Elite,9,EUW,6,0.167,0.62,1708,-201,1900-01-01 08:19:00,11.5,18.7,3.2,8.8,33.3,16.7,47.599999999999994,1.17,30.8,2.8,50.0,47.25,0.83,-0.7,-928.0,4.18,0.5,33.3,30.0,1715.0,3.2,1.19,1.14,3
Avant Gaming,9,OCE,45,0.444,0.99,1800,7,1900-01-01 09:23:00,12.7,12.8,6.0,6.3,55.6,48.9,47.599999999999994,2.13,48.9,2.8,60.0,47.25,0.87,0.1,155.0,4.18,0.71,47.9,32.3,1705.0,3.4,1.47,1.36,3
AVEZ,10,PL,18,0.5,1.08,1780,26,1900-01-01 11:09:00,15.7,14.6,5.8,5.4,38.9,61.1,47.599999999999994,2.06,43.8,2.8,50.0,47.25,0.72,0.1,1.0,4.18,0.78,47.2,30.2,2033.0,3.3,1.05,1.52,3
Axis Empire,9,SEA,28,0.464,1.02,1807,-31,1900-01-01 06:14:00,14.8,14.5,5.4,6.3,42.9,42.9,47.599999999999994,1.93,50.0,2.8,64.3,47.25,0.71,-0.4,-639.0,4.18,0.54,45.5,31.8,1932.0,3.0,1.03,1.03,3
AXIZ,9,JP,42,0.143,0.44,1585,-313,1900-01-01 08:29:00,6.4,14.5,2.8,8.8,42.9,14.3,47.599999999999994,1.45,29.6,2.8,41.5,47.25,0.62,-0.8,-1990.0,4.18,0.33,17.9,30.8,1395.0,3.5,1.48,1.29,3
Barrage Esports,9,UK,9,0.222,0.79,1669,-157,1900-01-01 09:30:00,12.0,15.0,4.4,8.4,22.2,33.3,47.599999999999994,1.67,40.6,2.8,55.6,47.25,0.67,-0.1,-621.0,4.18,0.56,33.3,30.1,1876.0,3.1,1.16,1.15,3
Berlin International Gaming,9,DE,27,0.741,1.35,1872,120,1900-01-01 10:13:00,15.5,11.5,7.6,5.0,44.4,66.7,47.599999999999994,2.93,62.4,2.8,44.4,47.25,1.04,0.1,426.0,4.18,0.74,60.9,33.1,1856.0,3.3,1.25,1.44,3
Besiktas Esports,9,TR,43,0.488,0.95,1759,-42,1900-01-01 10:23:00,13.8,14.4,5.7,6.5,46.5,44.2,47.599999999999994,2.28,48.7,2.8,39.5,47.25,0.77,-0.3,-519.0,4.18,0.7,50.0,30.8,1863.0,3.1,1.06,1.31,3
Bilibili Gaming,9,CN,84,0.56,1.18,1832,44,1900-01-01 09:50:00,13.2,11.2,6.6,5.3,21.4,23.8,47.599999999999994,2.06,48.5,2.8,49.4,47.25,0.83,-0.1,-139.0,4.18,0.76,58.8,32.8,1961.0,3.7,1.43,1.72,1
Boavista FC,9,PT,35,0.257,0.71,1689,-192,1900-01-01 07:47:00,13.9,19.6,4.2,7.8,45.7,37.1,47.599999999999994,1.83,42.5,2.8,57.1,47.25,0.69,-0.5,-1507.0,4.18,0.34,25.8,28.7,1768.0,2.8,0.98,1.02,3
Bombers,9,OCE,55,0.709,1.35,1892,174,1900-01-01 07:37:00,16.7,12.4,7.6,4.1,60.0,65.5,47.599999999999994,2.4,63.6,2.8,67.3,47.25,0.89,0.4,1327.0,4.18,0.95,68.2,32.2,1995.0,3.4,1.28,1.3,3
Bulldog Esports,9,UK,9,0.222,0.69,1648,-180,1900-01-01 10:11:00,11.2,16.2,3.9,8.3,77.8,33.3,47.599999999999994,1.67,39.6,2.8,44.4,47.25,0.78,-0.4,-276.0,4.18,0.44,37.0,30.1,1909.0,3.1,1.14,1.24,3
Burning Core,9,JP,42,0.476,0.88,1744,-21,1900-01-01 09:45:00,11.2,12.7,5.7,6.0,50.0,47.6,47.599999999999994,2.17,49.0,2.8,56.1,47.25,0.79,-0.1,-124.0,4.18,0.67,47.5,31.6,1738.0,3.2,1.07,1.37,3
Bursaspor Esports,9,TR,36,0.194,0.61,1637,-233,1900-01-01 08:49:00,8.1,13.2,3.5,8.2,47.2,44.4,47.599999999999994,1.47,30.7,2.8,42.9,47.25,0.72,-0.6,-1585.0,4.18,0.33,21.6,31.0,1513.0,3.1,1.27,1.28,3
Campus Party Sparks,9,IT,52,0.692,1.27,1862,125,1900-01-01 07:32:00,17.3,13.6,7.0,4.8,53.8,71.2,47.599999999999994,2.12,56.1,2.8,46.0,47.25,0.79,0.5,696.0,4.18,0.85,65.4,30.8,2134.0,3.0,1.21,1.22,3
Cerberus Esports,9,VN,67,0.343,0.77,1755,-130,1900-01-01 08:51:00,12.0,15.6,5.0,7.3,43.3,50.7,47.599999999999994,1.76,40.5,2.8,47.0,47.25,0.64,0.2,-298.0,4.18,0.49,32.0,32.7,1768.0,3.5,1.47,1.42,3
Cherry Gaming,9,VN,34,0.324,0.83,1779,-166,1900-01-01 09:02:00,14.9,17.9,5.1,7.9,41.2,35.3,47.599999999999994,2.09,48.0,2.8,32.3,47.25,0.72,-0.5,-1676.0,4.18,0.56,33.9,31.6,1921.0,3.5,1.4,1.36,3
Chiefs eSports Club,9,OCE,48,0.708,1.28,1874,141,1900-01-01 07:40:00,15.0,11.6,7.5,4.8,45.8,58.3,47.599999999999994,2.56,67.9,2.8,45.8,47.25,1.19,0.5,843.0,4.18,0.9,66.0,32.5,1874.0,3.2,1.24,1.35,3
CLG,9,NA,53,0.509,0.95,1767,-16,1900-01-01 10:30:00,10.5,11.0,6.2,6.5,47.2,47.2,47.599999999999994,2.15,45.4,2.8,41.2,47.25,0.74,-0.2,-294.0,4.18,0.81,51.0,32.7,1727.0,3.6,1.49,1.56,2
CLG Academy,9,NA,39,0.41,0.86,1753,-79,1900-01-01 08:57:00,13.4,15.5,5.2,6.7,53.8,46.2,47.599999999999994,1.64,37.3,2.8,46.2,47.25,0.64,-0.1,19.0,4.18,0.44,31.0,31.3,1920.0,3.1,1.13,1.33,2
Cloud9,9,NA,61,0.59,1.11,1807,41,1900-01-01 08:36:00,13.6,12.2,6.6,5.5,50.8,52.5,47.599999999999994,2.13,52.3,2.8,64.9,47.25,0.85,0.2,52.0,4.18,0.77,59.3,31.2,1970.0,3.3,1.28,1.37,2
Cloud9 Academy,9,NA,48,0.708,1.34,1911,184,1900-01-01 08:15:00,17.1,12.8,7.9,4.1,54.2,70.8,47.599999999999994,2.79,66.3,2.8,47.9,47.25,1.19,0.5,1382.0,4.18,0.96,67.9,32.4,2185.0,3.1,1.19,1.31,2
Clutch Gaming,9,NA,77,0.468,0.98,1778,0,1900-01-01 10:18:00,11.6,11.8,6.1,6.1,54.5,62.3,47.599999999999994,2.26,49.5,2.8,61.3,47.25,0.84,0.3,410.0,4.18,0.66,47.4,32.7,1810.0,3.8,1.55,1.57,2
Clutch Gaming Academy,9,NA,36,0.25,0.68,1715,-182,1900-01-01 08:54:00,11.4,16.8,4.5,7.9,27.8,50.0,47.599999999999994,1.5,34.9,2.8,41.7,47.25,0.81,-0.4,-1421.0,4.18,0.69,38.6,30.4,1791.0,3.2,1.22,1.21,2
CNB e-Sports Club,9,BR,45,0.378,0.77,1719,-132,1900-01-01 10:46:00,10.2,13.2,5.1,7.9,48.9,42.2,47.599999999999994,2.13,42.8,2.8,53.3,47.25,0.96,0.0,-961.0,4.18,0.73,40.9,31.8,1740.0,3.4,1.36,1.42,3
Crest Gaming Act,9,JP,50,0.68,1.58,1795,102,1900-01-01 09:09:00,13.5,8.5,6.2,4.8,46.0,54.0,47.599999999999994,2.32,53.6,2.8,50.0,47.25,0.76,0.0,137.0,4.18,0.64,52.6,32.5,1799.0,3.7,1.15,1.45,3
Crvena Zvezda Esports,9,EUW,9,0.222,0.64,1709,-255,1900-01-01 06:45:00,12.2,19.0,3.4,8.2,11.1,22.2,47.599999999999994,0.89,23.0,2.8,55.6,47.25,0.67,-0.6,-1509.0,4.18,0.44,37.5,30.3,1869.0,2.9,1.25,1.16,3
Cyberground Gaming,9,IT,16,0.563,1.19,1883,158,1900-01-01 08:29:00,17.6,14.8,7.4,4.3,43.8,81.3,47.599999999999994,2.31,62.3,2.8,75.0,47.25,1.13,0.9,1716.0,4.18,0.5,53.6,31.7,2197.0,3.0,1.23,1.21,3
DAMWON Gaming,9,KR,127,0.598,1.13,1873,109,1900-01-01 09:07:00,12.6,11.1,6.7,4.8,33.9,50.4,47.599999999999994,2.64,61.5,2.8,54.5,47.25,1.02,0.0,101.0,4.18,0.8,62.6,34.7,1796.0,3.8,1.45,1.79,1
Dark Passage,9,TR,40,0.35,0.86,1721,-112,1900-01-01 07:48:00,10.5,12.1,4.9,7.2,42.5,40.0,47.599999999999994,1.58,37.5,2.8,39.5,47.25,0.55,-0.4,-1122.0,4.18,0.58,38.5,31.8,1639.0,3.2,1.14,1.22,3
DarkSpawn Gaming,9,UK,8,0.125,0.39,1526,-363,1900-01-01 07:35:00,5.4,13.6,2.4,9.4,25.0,12.5,47.599999999999994,0.88,17.1,2.8,0.0,47.25,0.5,-1.1,-2496.0,4.18,0.25,8.3,29.5,1149.0,3.0,1.16,0.98,3
Dashing Buffalo,9,VN,107,0.561,1.16,1879,89,1900-01-01 08:10:00,15.6,13.3,6.8,5.1,53.3,57.9,47.599999999999994,2.37,56.8,2.8,53.8,47.25,1.01,0.3,1146.0,4.18,0.81,55.6,33.6,1869.0,3.6,1.46,1.52,3
Defusekids,9,EUW,6,0.333,0.62,1682,-179,1900-01-01 11:19:00,11.5,18.5,4.8,7.3,66.7,50.0,47.599999999999994,2.0,38.9,2.8,33.3,47.25,0.67,-0.7,-433.0,4.18,1.0,70.0,30.6,1680.0,3.5,1.36,1.37,3
Detonation FocusMe,9,JP,59,0.814,1.69,1860,235,1900-01-01 08:24:00,13.9,8.2,7.9,3.2,54.2,66.1,47.599999999999994,2.68,67.5,2.8,50.0,47.25,1.05,0.5,934.0,4.18,0.88,77.1,32.0,1908.0,3.7,1.36,1.5,3
DeToNator,9,SEA,18,0.444,1.03,1867,11,1900-01-01 07:07:00,17.4,16.9,5.6,6.4,44.4,50.0,47.599999999999994,1.72,43.9,2.8,55.6,47.25,0.89,0.1,772.0,4.18,0.67,47.2,31.1,2252.0,2.9,1.17,1.22,3
devils.one,10,PL,68,0.574,1.08,1811,66,1900-01-01 08:47:00,12.6,11.7,6.5,5.1,51.5,54.4,47.599999999999994,1.94,48.3,2.8,55.9,47.25,0.65,0.1,148.0,4.18,0.78,58.6,32.5,1854.0,3.4,1.35,1.32,3
Diabolus Esports,9,UK,27,0.63,1.1,1804,44,1900-01-01 09:11:00,13.8,12.5,6.9,5.3,44.4,55.6,47.599999999999994,2.67,65.2,2.8,59.3,47.25,1.0,-0.1,-620.0,4.18,0.78,60.1,31.6,1868.0,3.2,1.17,1.38,3
Dire Wolves,9,OCE,46,0.304,0.75,1720,-158,1900-01-01 09:13:00,11.8,15.8,5.2,7.3,45.7,43.5,47.599999999999994,1.91,42.5,2.8,54.3,47.25,0.65,0.0,-364.0,4.18,0.63,31.2,31.0,1747.0,3.3,1.32,1.13,3
Dominus Esports,9,CN,77,0.506,0.98,1812,-14,1900-01-01 08:22:00,12.1,12.3,6.2,5.9,28.6,28.6,47.599999999999994,2.31,50.8,2.8,49.4,47.25,0.83,-0.1,-139.0,4.18,0.7,51.2,32.9,1710.0,3.2,1.17,1.57,1
Doxa Gaming,9,PT,14,0.643,1.26,1849,169,1900-01-01 07:56:00,13.4,10.6,6.9,4.4,71.4,64.3,47.599999999999994,2.5,63.6,2.8,57.1,47.25,0.79,0.3,1051.0,4.18,0.86,71.4,32.7,1704.0,2.8,0.84,1.13,3
Dragon Army,9,CIS,28,0.357,0.86,1780,7,1900-01-01 08:06:00,12.9,15.0,5.1,6.2,57.1,71.4,47.599999999999994,1.86,47.7,2.8,63.0,47.25,0.89,0.9,1448.0,4.18,0.43,33.3,31.5,1906.0,3.1,1.19,1.34,3
Dragon Gate Team,9,TW,33,0.212,0.54,1709,-218,1900-01-01 07:13:00,9.8,18.1,4.1,7.9,36.4,45.5,47.599999999999994,1.36,41.2,2.8,60.6,47.25,0.64,0.1,-680.0,4.18,0.3,18.5,31.6,1815.0,3.1,1.19,1.31,3
Dropz Esports,9,IT,14,0.071,0.48,1599,-388,1900-01-01 05:26:00,8.9,18.6,2.4,9.3,28.6,21.4,47.599999999999994,1.21,28.0,2.8,35.7,47.25,0.64,-1.1,-3420.0,4.18,0.36,23.1,29.1,1425.0,2.8,1.05,1.1,3
E-Monkeyz Club,9,ES,41,0.366,0.75,1716,-113,1900-01-01 08:34:00,10.3,13.8,4.7,7.4,34.1,39.0,47.599999999999994,2.15,46.3,2.8,36.6,47.25,0.83,-0.3,-972.0,4.18,0.59,41.7,31.2,1746.0,3.2,1.24,1.26,3
Echo Fox,9,NA,40,0.325,0.72,1718,-115,1900-01-01 11:00:00,9.5,13.1,4.5,7.8,20.0,45.0,47.599999999999994,2.03,38.9,2.8,42.1,47.25,0.73,-0.2,-893.0,4.18,0.65,34.9,32.7,1740.0,3.1,1.09,1.41,2
Echo Fox Academy,9,NA,49,0.469,1.07,1792,-8,1900-01-01 09:20:00,13.8,12.9,5.1,6.3,59.2,36.7,47.599999999999994,1.94,44.4,2.8,37.5,47.25,0.82,-0.4,-101.0,4.18,0.59,42.2,32.4,1917.0,3.1,1.12,1.34,2
Edward Gaming,9,CN,83,0.566,1.17,1830,72,1900-01-01 08:45:00,13.0,11.1,6.4,5.4,26.5,24.1,47.599999999999994,2.49,59.1,2.8,49.4,47.25,0.83,-0.1,-139.0,4.18,0.63,49.6,32.5,1835.0,3.5,1.35,1.66,1
Electronik Generation,9,PT,35,0.686,1.27,1825,133,1900-01-01 08:30:00,15.4,12.1,7.5,4.4,51.4,54.3,47.599999999999994,2.43,62.9,2.8,71.4,47.25,0.86,0.1,525.0,4.18,0.89,67.2,31.1,1852.0,3.1,1.3,1.04,3
Elements Pro Gaming,9,CIS,39,0.667,1.34,1830,141,1900-01-01 06:49:00,14.7,10.9,6.3,4.1,53.8,48.7,47.599999999999994,2.0,55.0,2.8,59.0,47.25,0.85,0.2,678.0,4.18,0.64,61.8,31.8,1973.0,3.1,1.23,1.33,3
Enclave Gaming,9,UK,11,0.364,0.82,1726,-110,1900-01-01 08:51:00,10.8,13.3,5.4,7.2,81.8,54.5,47.599999999999994,1.82,42.0,2.8,63.6,47.25,0.64,0.0,532.0,4.18,0.64,40.9,31.8,1692.0,2.8,1.12,1.27,3
ES Sharks,9,KR,11,0.364,0.83,1757,-57,1900-01-01 12:32:00,10.5,12.5,5.2,7.2,45.5,27.3,47.599999999999994,2.27,44.0,2.8,54.5,47.25,0.45,-0.2,-1023.0,4.18,0.45,36.7,34.0,1782.0,3.4,1.22,1.66,1
Esports Academy,9,PL,15,0.2,0.76,1666,-267,1900-01-01 09:07:00,12.4,16.4,3.1,9.0,40.0,40.0,47.599999999999994,2.07,43.9,2.8,40.0,47.25,0.8,-0.6,-1353.0,4.18,0.47,24.4,29.3,1668.0,2.9,1.07,1.12,3
eSuba,9,CZ,49,0.755,1.35,1915,233,1900-01-01 06:15:00,15.8,11.7,8.0,3.1,71.4,79.6,47.599999999999994,2.78,72.2,2.8,79.6,47.25,1.2,1.0,2074.0,4.18,0.82,71.0,32.7,1978.0,3.1,1.21,1.23,3
EVOS Esports,9,VN,77,0.532,1.01,1841,9,1900-01-01 08:45:00,13.6,13.4,6.1,6.2,48.1,33.8,47.599999999999994,2.14,49.7,2.8,42.7,47.25,0.79,-0.3,-27.0,4.18,0.75,56.0,33.5,1757.0,3.5,1.34,1.41,3
Excel eSports,9,EUW,36,0.25,0.71,1703,-195,1900-01-01 08:46:00,10.0,14.1,4.5,7.5,38.9,50.0,47.599999999999994,1.72,43.3,2.8,66.7,47.25,0.67,-0.4,-1048.0,4.18,0.61,37.7,31.4,1565.0,3.5,1.39,1.32,2
Excel UK,9,UK,27,0.667,1.26,1849,145,1900-01-01 09:27:00,13.9,11.0,7.7,4.6,40.7,66.7,47.599999999999994,2.26,50.0,2.8,33.3,47.25,0.81,0.6,864.0,4.18,0.78,66.0,32.2,1958.0,3.3,1.24,1.38,3
eXtatus,9,CZ,27,0.333,0.73,1676,-211,1900-01-01 07:04:00,10.6,14.5,3.6,7.9,29.6,22.2,47.599999999999994,1.59,36.4,2.8,29.6,47.25,0.63,-1.0,-1919.0,4.18,0.52,32.0,30.8,1700.0,2.8,0.96,1.02,3
FALKN,9,EUW,6,0.167,0.62,1674,-295,1900-01-01 06:01:00,11.8,19.0,2.7,8.5,66.7,16.7,47.599999999999994,1.33,36.1,2.8,33.3,47.25,0.67,-1.0,-2950.0,4.18,0.5,25.0,30.3,1588.0,2.9,1.24,1.03,3
FC Schalke 04,9,EUW,51,0.51,1.16,1809,-7,1900-01-01 08:47:00,13.4,11.5,5.9,6.1,43.1,49.0,47.599999999999994,1.94,47.7,2.8,46.0,47.25,0.75,-0.3,-436.0,4.18,0.82,55.1,32.8,1794.0,3.5,1.26,1.45,3
Flamengo eSports,9,BR,63,0.762,1.28,1883,171,1900-01-01 08:26:00,14.2,11.0,8.2,3.9,65.1,63.5,47.599999999999994,2.78,67.2,2.8,66.7,47.25,1.13,0.4,1286.0,4.18,0.98,75.8,33.0,1859.0,3.6,1.26,1.4,3
Flash Wolves,9,TW,89,0.483,1.08,1794,-2,1900-01-01 09:39:00,12.3,11.4,5.6,6.0,46.1,49.4,47.599999999999994,1.9,44.3,2.8,54.5,47.25,0.75,0.0,54.0,4.18,0.71,51.3,33.2,1691.0,3.7,1.36,1.54,3
FlyQuest,9,NA,49,0.388,0.89,1739,-70,1900-01-01 10:45:00,9.4,10.5,5.0,7.1,59.2,30.6,47.599999999999994,2.04,43.0,2.8,29.2,47.25,0.9,-0.3,-353.0,4.18,0.61,43.8,33.6,1531.0,3.3,1.23,1.41,2
FlyQuest Academy,9,NA,36,0.361,0.78,1705,-151,1900-01-01 07:36:00,11.2,14.3,4.6,7.3,38.9,27.8,47.599999999999994,1.75,37.8,2.8,27.8,47.25,0.53,-0.9,-1638.0,4.18,0.58,37.7,30.9,1866.0,3.2,1.36,1.23,2
Fnatic,9,EUW,78,0.654,1.15,1899,119,1900-01-01 07:50:00,15.0,13.0,7.3,5.1,59.0,52.6,47.599999999999994,2.26,58.6,2.8,40.3,47.25,0.74,0.1,492.0,4.18,0.91,63.7,32.3,1926.0,3.3,1.28,1.42,2
