Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
KAOS e-sport,15,EUW,15,0.333,0.87,1740,-166,1900-01-01 06:54:00,16.0,18.4,4.5,7.2,60.0,26.7,33.3,1.6,34.7,2.7,46.7,33.3,0.67,-0.5,-739.0,3.6,0.2,30.0,30.3,2592.0,2.7,0.81,1.04,3
Kareha Children,15,JP,6,0.167,0.59,1685,-294,1900-01-01 05:47:00,13.5,22.8,3.0,8.5,66.7,16.7,33.3,1.67,43.1,1.8,16.7,50.0,1.17,-0.7,-1609.0,2.83,0.17,20.0,30.0,2376.0,2.6,0.96,1.04,3
Karmine Corp,15,EUW,57,0.596,1.08,1856,55,1900-01-01 09:06:00,14.7,13.5,6.5,5.8,38.6,47.4,43.9,2.63,54.4,3.0,38.6,45.6,1.02,0.0,-387.0,4.18,0.54,48.9,33.5,2708.0,3.3,1.19,1.55,2
Karmine Corp Blue,15,FR,33,0.667,1.29,1915,172,1900-01-01 10:39:00,17.1,13.2,7.7,4.8,60.6,63.6,57.6,3.09,62.0,3.0,50.0,69.7,1.18,0.1,735.0,3.42,1.0,68.3,33.3,2833.0,3.3,1.06,1.52,3
Karmine Corp Blue Stars,15,FR,16,0.438,0.89,1812,-90,1900-01-01 09:32:00,15.8,17.7,4.7,7.9,25.0,31.3,31.3,1.75,36.0,2.3,50.0,50.0,0.69,-0.2,-735.0,3.94,0.5,44.9,32.4,2570.0,3.0,0.96,1.29,3
Kaufland Hangry Knights,15,DE,17,0.353,0.93,1826,-60,1900-01-01 10:28:00,14.2,15.1,5.7,7.7,41.2,76.5,70.6,2.29,47.3,3.8,50.0,35.3,0.65,0.3,776.0,4.35,0.53,33.3,34.0,2622.0,3.4,1.11,1.34,3
Keypulse Esports,15,PT,5,0.6,1.26,1798,23,1900-01-01 09:59:00,18.6,14.8,7.0,5.4,80.0,40.0,40.0,3.6,73.3,2.0,60.0,60.0,1.8,-0.2,-1374.0,2.6,0.6,60.0,29.3,2624.0,2.6,0.68,1.01,3
KIA.eSuba Academy,15,CZ,12,0.417,0.88,1798,-74,1900-01-01 08:42:00,17.5,19.9,5.3,6.8,41.7,25.0,16.7,2.0,43.0,3.8,41.7,16.7,0.67,-0.3,-1021.0,3.92,0.67,61.1,30.3,2872.0,2.6,0.56,1.1,3
KT Challengers,15,KR,34,0.824,1.72,1953,228,1900-01-01 06:59:00,20.9,12.1,8.1,3.9,73.5,50.0,67.6,2.94,71.8,3.2,61.8,73.5,1.18,0.3,1170.0,4.71,0.44,57.5,32.5,3302.0,3.5,1.4,1.47,1
KT Rolster,15,KR,34,0.412,0.86,1779,-100,1900-01-01 07:30:00,13.4,15.6,4.7,6.7,44.1,47.1,38.2,2.18,52.3,2.8,52.9,29.4,0.91,-0.1,-536.0,3.41,0.44,40.0,32.6,2520.0,3.5,1.4,1.51,1
Leoes Porto Salvo Esports,15,PT,5,0.4,0.74,1655,-269,1900-01-01 06:51:00,13.0,17.6,4.2,9.0,20.0,20.0,40.0,1.6,35.7,2.6,40.0,40.0,0.6,-1.2,-3270.0,2.6,0.4,50.0,28.4,2600.0,2.5,0.55,0.84,3
Leviatan,15,LAT,13,0.462,0.8,1774,-111,1900-01-01 11:08:00,13.5,16.8,5.2,7.5,53.8,38.5,38.5,1.54,33.3,3.2,61.5,30.8,0.77,-0.2,-715.0,3.23,0.54,43.1,32.5,2523.0,3.7,1.51,1.42,3
LGD Gaming,15,CN,21,0.333,0.93,1818,-80,1900-01-01 09:28:00,16.7,18.0,5.1,6.8,42.9,33.3,28.6,2.48,58.0,3.0,42.9,47.25,0.83,-0.1,-51.0,4.18,0.52,50.0,31.8,2660.0,3.2,1.23,1.47,1
Lille Esport,15,FR,16,0.313,0.69,1762,-151,1900-01-01 07:43:00,13.9,20.1,5.0,7.2,62.5,37.5,37.5,2.38,51.9,2.4,25.0,37.5,1.06,-0.1,-1070.0,4.19,0.38,33.3,31.0,2549.0,3.0,1.08,1.11,3
